122963	ALBUMINEMICROSFEREN MET PERFLUTREN INJSUSP
154849	ALENDRONIN/CALCIUMCAR/COLECA ORA (BONENDRO  500)
154830	ALENDRONIN/CALCIUMCAR/COLECAL ORA (ALENCA D3 1000)
154822	ALENDRONIN/CALCIUMCAR/COLECAL ORA (ALENCA D3 500)
154857	ALENDRONIN/CALCIUMCAR/COLECAL ORA (BONENDRO 1000)
57282	ALTHAEA STROOP
107115	AMOXICIL/CLARITRO/PANTOPRA (PANCLAMOX)
133639	ANTI DECUBITUS CREME
163058	ARACHIDE-OLIE OORDRUPPELS
187453	ATIDARSAGEN AUTOTEMCEL INF DISPERSIE
175242	AUTOLOGE KRAAKBEENCELLEN IMPLANTATIE SUSPENSIE
180475	AXICABTAGEN CILOLEUCEL INF DISPERSIE
185558	BASIS VOOR SUSPENSIE (FAGRON)
153907	BASISCREME (DIVERSE SOORTEN)
140902	BASISCREME (PENTRAVAN)
77011	BIJENGIF INJVLST
183776	BLOEMENALLERGEEN INJSUSP
183652	BLOEMENALLERGEEN OROMUCOSALE VLOEISTOF
178357	BOLDOCYNARA TABLET
183466	BOOMPOLLENALLERGEEN DRUPPELS
183474	BOOMPOLLENALLERGEEN INJSUSP
183407	BOOMPOLLENALLERGEEN LYOPHILISAAT
183512	BOOMPOLLENALLERGEEN OROMUCOSALE VLOEISTOF
162043	BOORZUUR OORPOEDER
173266	BRINEURA SPOELOPLOSSING INFVLST
178888	CALCIUMCHLORIDE/DINA/NADIFOSFAAT MONDSPOELING
170208	CARNOYS VLOEISTOF
132853	CETACEUM IN CETOMACROGOLCREME
132594	CETOMACROGOL CREME/VASELINE/GLYCERINE 80/10/10
132837	CETOMACROGOLCREME MET GLYCEROL
132861	CETOMACROGOLCREME MET PARAFFINE DUNVLOEIBAAR
179108	CETOMACROGOLCREME MET PARAFFINE VLOEIBAAR
150495	CETOMACROGOLCREME MET PROPYLEENGLYCOL
133329	CETOMACROGOLCREME MET VASELINE
132950	CETOMACROGOLCREME/WATER/GLYCERINE
111953	CETOMACROGOLSMEERSEL
133000	CETOMACROGOLSMEERSEL (NIET FNA)
138681	CETOMACROGOLZALF MET 25% CETIOL V
184306	COVID-19 VACCIN ASTRAZENECA INJVLST
185531	COVID-19 VACCIN CUREVAC INJVLST
184861	COVID-19 VACCIN JANSSEN INJVLST
184276	COVID-19 VACCIN MODERNA INJVLST
184292	COVID-19 VACCIN NIET GESPECIFICEERD INJVLST
185132	COVID-19 VACCIN NOVAVAX INJVLST
184284	COVID-19 VACCIN PFIZER INJVLST
185825	COVID-19 VACCIN SPUTNIK V INJVLST
189790	COVID-19 VACCIN VALNEVA INJVLST
96555	DESFLURAAN INHALATIEVLST/GAS
183431	DIERALLERGEEN DRUPPELS
183768	DIERALLERGEEN INJSUSP
183490	DIERALLERGEEN INJVLST
183504	DIERALLERGEEN OROMUCOSALE VLOEISTOF
177326	DISPERTABLET
183458	DIVERSE ALLERGENEN DRUPPELS
183636	DIVERSE ALLERGENEN INJSUSP
183520	DIVERSE ALLERGENEN OROMUCOSALE VLOEISTOF
132918	EUCERINE MET WATER CREME
140961	FIBRINOGEEN/APROTININE OPL (ARTISS/TISSEEL)
175358	GALLIUM GA-68 EDOTREOTIDE KIT RADIOF PREP
183644	GRAS/BOOMPOLLENALLERGEEN INJSUSP
183547	GRAS/BOOMPOLLENALLERGEEN OROMUCOSALE VLOEISTOF
183784	GRASPOLLEN/BLOEMENALLERGEEN INJSUSP
183423	GRASPOLLENALLERGEEN DRUPPELS
183482	GRASPOLLENALLERGEEN INJSUSP
183598	GRASPOLLENALLERGEEN LYOPHILISAAT
183555	GRASPOLLENALLERGEEN OROMUCOSALE VLOEISTOF
183601	GRASPOLLENALLERGEEN TABLET SUBLINGUAAL
148318	HISTAMINE VERNEVELVLST (PLACEBO)
183415	HUISSTOFMIJTENALLERGEEN DRUPPELS
183628	HUISSTOFMIJTENALLERGEEN INJSUSP
183393	HUISSTOFMIJTENALLERGEEN LYOPHILISAAT
183571	HUISSTOFMIJTENALLERGEEN OROMUCOSALE VLOEISTOF
135054	HUIZINGACREME MET ARACHIDE-OLIE
140791	HUIZINGACREME MET OLIJFOLIE
142379	HYALURONIDASE INFVLST
110825	HYPERICUM CAPSULE
127442	HYPERICUM DRANK
110868	HYPERICUM DRUPPELS
110841	HYPERICUM KRUIDENTHEE
110817	HYPERICUM TABLET
142425	I BASIS CREME
135127	IBEROGAST DRUPPELS
142387	IMMUNOGLOBULINE INF 100MG/ML + HYALURONIDASE
72796	ISOFLURAAN INHALATIEGAS
120286	LACTOSE STROOIPOEDER
133337	LANETTECREME MET VASELINE
111945	LANETTESMEERSEL
133019	LANETTESMEERSEL (NIET FNA)
132896	LANOLINE/VASELINE/GLYCERINE ZALF
164895	LIPIDEMICROSFEREN MET PERFLUTREN INJECTIE/INFUSIE
185981	LOTION PARAFFINE CAPITIS 10% (ACE)
138754	LOTION PARAFFINE CAPITIS 10% (FAGRON)
181722	MACROGOL SPOELING
146056	MANNITOL INHALATIECAPSULE PROVOCATIETEST
177555	METHIONINE DL POEDER ORAAL
161861	METHIONINE POEDER ORAAL
168122	METHYLCELLULOSE 400MPA.S POEDER ORAAL
158755	MULTIVITAMINE MET VITAMINE D CAPSULE
138274	MULTIVITAMINE VOOR DIALYSE CAPSULE (ADDED/UMCG)
138290	MULTIVITAMINEN + MINERALEN FORTE CAPSULE
138282	MULTIVITAMINEN + MINERALEN TABLET
188956	NIRMATRELVIR/RITONAVIR TABLET COMBINATIEVERPAKKING
130591	OTC BRUISTABLET MET O.A. VITAMINE K
130567	OTC CAPSULE MET O.A. VITAMINE K
136042	OTC CAPSULE MET O.A. VITAMINE K1 EN K2
132012	OTC CAPSULE MET O.A. VITAMINE K2
152749	OTC DRANK MET O.A. HYPERICUM EXTRACT
168610	OTC DRANK MET O.A. VITAMINE K2
187569	OTC DRUPPELS MET O.A. VITAMINE K1 EN K2
130532	OTC KAUWTABLET MET O.A. VITAMINE K
176877	OTC SMELTTABLET MET O.A. VITAMINE K
174246	OTC SPRAY MET O.A. VITAMINE K2
152730	OTC TABLET MET O.A. HYPERICUM EXTRACT
139181	OTC TABLET MET O.A. VITAMINE K2
174491	OTC TABLET MGA MET O.A. VITAMINE K
108324	PALAMED 40 POEDER VOOR CEMENT 44G
179914	PARENTERALE VOEDING NEON BASIS A INFVLST
179906	PARENTERALE VOEDING NEON BASIS B INFEM
175269	PARENTERALE VOEDING NEONATAAL INFEMU
174734	PARENTERALE VOEDING NICU INFEMU
171735	PEP STARTSET TAB (DOLUTEGRA/TENOFOVDIS/EMTRICI)
145157	PLACEBO ADHD TABLET DMB
178381	PLACEBO TABL WIT ACE
146188	PLACEBO TABL WIT DCB
179892	PLACEBO TABLET WIT ORLY
109797	PLASMA VERSBEVROREN BLOEDGROEP A INFVLST
109770	PLASMA VERSBEVROREN BLOEDGROEP AB INFVLS
109789	PLASMA VERSBEVROREN BLOEDGROEP B INFVLST
109762	PLASMA VERSBEVROREN BLOEDGROEP O INFVLST
137154	PNEUMOKOKKENVACCIN 10 TYPEN INJSUSP
132632	PNEUMOKOKKENVACCIN 13 TYPEN INJSUSP
189197	PNEUMOKOKKENVACCIN 15 TYPEN INJSUSP
189405	PNEUMOKOKKENVACCIN 20 TYPEN INJSUSP
50989	PNEUMOKOKKENVACCIN 23 TYPEN INJVLST
130540	POEDER VOOR VOEDING MET O.A. VITAMINE K
172413	POEDER VOOR VOEDING MET O.A. VITAMINE K1 EN K2
141534	REEP MET O.A. VITAMINE K
170275	REUKTEST NEUROLOGIE VLOEISTOF
123277	RISEDRONINEZUUR/CALCIUMCARB TAB (COMBINATIEVERPAK)
97160	SEVOFLURAAN INHALATIEVLST/GAS
139831	SIMPLEX BASISZALF
167436	SMOFKABIVEN/SPOREN/VIT MET ALANYLGLUTAMINE INFE
167355	SMOFKABIVEN/SPOREN/VITAMINE ELEKTROLYTVRIJ INFEMU
153397	SMOFKABIVEN/SPOREN/VITAMINE INF EMULSIE (BZF/SAHZ)
106569	TECHNETIUM TC-99M BUTEDRONAAT INJECTIEPOEDER
106925	TECHNETIUM TC-99M EXAMETAZIM INJECTIEPOEDER
106690	TECHNETIUM TC-99M FYTAAT INJECTIEPOEDER
106739	TECHNETIUM TC-99M MACROSALB INJECTIEPOEDER
106674	TECHNETIUM TC-99M MEBROFENINE INJECTIEPOEDER
106682	TECHNETIUM TC-99M NANOCOLLOIDE INJECTIEPOEDER
106577	TECHNETIUM TC-99M OXIDRONAAT INJECTIEPOEDER
106763	TECHNETIUM TC-99M TETROFOSMINE INJECTIEPOEDER
74942	TETANUSVACCIN/IMMUNOGLOBULINE 3X0,5ML + 2ML
176478	TISAGENLECLEUCEL INF DISPERSIE
174572	TRAGACANT/GLYCEROL GEL RECTAAL
182834	TRUE TEST 36 PLEISTER (3 STUKS)
174165	TRUE TEST PLEISTER (2 STUKS)
35300	VALERIAAN TINCTUUR DRUPPELS
133140	VASELINE ZALF MET WOLVET
132888	VASELINE/LANOLINE ZALF
133868	VASELINECARBOMEERCREME
175692	VASELINECARBOMEERSMEERSEL
138231	VITAMINE B COMPLEX FORTE TABLET
138258	VITAMINE B COMPLEX TABLET (DIVERSE FABRIKATEN)
138266	VITAMINE B COMPLEX TABLET (PCH)
189537	VLOEIB. VOEDING VRIJWEL ZONDER VIT. K
171654	VLOEIBARE VOEDING MET O.A. VITAMINE K1 EN K2
183792	VOEDINGS/GRASPOLLEN/BLOEMENALLERGEEN INJSUSP
183806	VOEDINGS/GRASPOLLENALLERGEEN INJSUSP
88730	WATER OPLOSMIDDEL PARENTERAAL
89885	WATER SPOELING
168114	WATER VERNEVELVLOEISTOF
137650	WEEFSELLIJM (ARTISS)
140996	WEEFSELLIJM (TISSEEL)
186961	WEEFSELLIJM (VERASEAL)
77038	WESPENGIF INJVLST
132667	ZINKOXIDE/CALCIUMHYDROXIDE PASTA (ZOK-ZALF)
