	7-oxo-dehydroepiandrosteron	milligram	A14AA	Active	1,234.56	1	7-oxo-dehydroepiandrosteron	[All]	Tablet
	aardbei/wijnstok kauwtablet	stuk	Z	Active	1,234.56	1	aardbei/wijnstok kauwtablet	[All]	Kauwtablet
	abacavir	milligram	J05AF06, J05AF06	Active	1,234.56	1	abacavir	[All]	Tablet;Drank
	abatacept	milligram	L04AA24, L04AA24, L04AA24	Active	1,234.56	1	abatacept	[All]	Poeder voor oplossing voor infusie;Infuus;Injectievloeistof
	abciximab	milligram	B01AC13	Active	1,234.56	1	abciximab	[All]	Infuus
	abemaciclib	milligram	L01EF03	Active	1,234.56	1	abemaciclib	[All]	Tablet
	abirateron	milligram	L02BX03	Active	1,234.56	1	abirateron	[All]	Tablet
	abrocitinib	milligram	D11AH08	Active	1,234.56	1	abrocitinib	[All]	Tablet
	acalabrutinib	milligram	L01EL02	Active	1,234.56	1	acalabrutinib	[All]	Capsule
	acamprosaat	milligram	N07BB03	Active	1,234.56	1	acamprosaat	[All]	Maagsapresistente tablet
	acarbose	milligram	A10BF01	Active	1,234.56	1	acarbose	[All]	Tablet
	acebutolol	milligram	C07AB04	Active	1,234.56	1	acebutolol	[All]	Tablet
	aceclofenac	milligram	M01AB16	Active	1,234.56	1	aceclofenac	[All]	Omhulde tablet
	acenocoumarol	milligram	B01AA07	Active	1,234.56	1	acenocoumarol	[All]	Tablet
	acetazolamide	milligram	S01EC01, S01EC01, S01EC01	Active	1,234.56	1	acetazolamide	[All]	Tablet;Poeder voor injectievloeistof;Suspensie voor oraal gebruik
	acetylcysteine	milligram	R05CB01, R05CB01, R05CB01, V03AB23, R05CB01, V03AB23, R05CB01, S01XA08, R05CB01, R05CB01, R05CB01	Active	1,234.56	1	acetylcysteine	[All]	Vernevelvloeistof;Granulaat;Poeder voor oraal gebruik;Bruistablet;Concentraat voor oplossing voor infusie;Drank;Oogdruppels;Zuigtablet;Tablet;Blaasspoeling
	acetylsalicylzuur	milligram	B01AC06, N02BA01, N02BA01, N02BA01, B01AC06, B01AC06	Active	1,234.56	1	acetylsalicylzuur	[All]	Tablet;Poeder voor injectievloeistof;Bruistablet;Maagsapresistente tablet;Dispergeerbare tablet
	acetylsalicylzuur/ascorbinezuur bruistablet	stuk	N02BA51	Active	1,234.56	1	acetylsalicylzuur/ascorbinezuur bruistablet	[All]	Bruistablet
	acetylsalicylzuur/clopidogrel tablet	stuk	B01AC30	Active	1,234.56	1	acetylsalicylzuur/clopidogrel tablet	[All]	Tablet
	acetylsalicylzuur/metoclopramide poeder voor oraal gebruik	stuk	N02BA51	Active	1,234.56	1	acetylsalicylzuur/metoclopramide poeder voor oraal gebruik	[All]	Poeder voor oraal gebruik
	acetylsalicylzuur/paracetamol/coffeine tablet	stuk	N02BE51	Active	1,234.56	1	acetylsalicylzuur/paracetamol/coffeine tablet	[All]	Tablet
	aciclovir	milligram	S01AD03, J05AB01, J05AB01, D06BB03, J05AB01, J05AB01, J05AB01, J05AB01, J05AB01	Active	1,234.56	1	aciclovir	[All]	Oogzalf;Poeder voor oplossing voor infusie;Tablet;Creme;Suspensie voor oraal gebruik;Concentraat voor oplossing voor infusie;Dispergeerbare tablet;Infuus;Infusievloeistof
	acipimox	milligram	C10AD06	Active	1,234.56	1	acipimox	[All]	Capsule
	acitretine	milligram	D05BB02	Active	1,234.56	1	acitretine	[All]	Capsule
	aclidinium	microgram	R03BB05	Active	1,234.56	1	aclidinium	[All]	Inhalatiepoeder
	acrivastine	milligram	R06AX18	Active	1,234.56	1	acrivastine	[All]	Capsule
	adalimumab	milligram	L04AB04, L04AB04	Active	1,234.56	1	adalimumab	[All]	Injectievloeistof;Injectie
	adapaleen	milligram	D10AD03	Active	1,234.56	1	adapaleen	[All]	Gel
	adefovir	milligram	J05AF08	Active	1,234.56	1	adefovir	[All]	Tablet
	adenosine	milligram	C01EB10, C01EB10, C01EB10	Active	1,234.56	1	adenosine	[All]	Injectievloeistof;Infusievloeistof;Infuus
	adrenaline	milligram	B02BC09, C01CA24, R03AA01, C01CA24	Active	1,234.56	1	adrenaline	[All]	Oplossing;Injectievloeistof;Vernevelvloeistof;Infuus
	adrenaline/articaine injectievloeistof	milliliter	N01BB58	Active	1,234.56	1	adrenaline/articaine injectievloeistof	[All]	Injectievloeistof
	adrenaline/bupivacaine injectievloeistof	milliliter	N01BB51	Active	1,234.56	1	adrenaline/bupivacaine injectievloeistof	[All]	Injectievloeistof
	adrenaline/lidocaine injectievloeistof	milliliter	N01BB52	Active	1,234.56	1	adrenaline/lidocaine injectievloeistof	[All]	Injectievloeistof
	adrenaline/ropivacaine injectievloeistof	milliliter	N01BB20	Active	1,234.56	1	adrenaline/ropivacaine injectievloeistof	[All]	Injectievloeistof
	afamelanotide	milligram	D02BB02	Active	1,234.56	1	afamelanotide	[All]	Implantaat
	afatinib	milligram	L01EB03	Active	1,234.56	1	afatinib	[All]	Tablet
	aflibercept	milligram	S01LA05, L01XX44, L01XX44	Active	1,234.56	1	aflibercept	[All]	Injectievloeistof;Concentraat voor oplossing voor infusie;Infuus
	agalsidase alfa	milligram	A16AB03, A16AB03	Active	1,234.56	1	agalsidase alfa	[All]	Infuus;Concentraat voor oplossing voor infusie
	agalsidase beta	milligram	A16AB04, A16AB04	Active	1,234.56	1	agalsidase beta	[All]	Poeder voor oplossing voor infusie;Infuus
	agomelatine	milligram	N06AX22	Active	1,234.56	1	agomelatine	[All]	Tablet
	alanylglutamine	milligram	B05XB02	Active	1,234.56	1	alanylglutamine	[All]	Concentraat voor oplossing voor infusie
	albendazol	milligram	P02CA03	Active	1,234.56	1	albendazol	[All]	Tablet
	albumine	milligram	B05AA01, V07AB	Active	1,234.56	1	albumine	[All]	Infusievloeistof;Oplosmiddel voor parenteraal gebruik
	albutrepenonacog alfa	internationale eenheid	B02BD04	Active	1,234.56	1	albutrepenonacog alfa	[All]	Poeder voor injectievloeistof
	aldesleukine	miljoen ie	L03AC01, L03AC01	Active	1,234.56	1	aldesleukine	[All]	Poeder voor injectie/infusieoplossing;Injectie/infuus
	alectinib	milligram	L01ED03	Active	1,234.56	1	alectinib	[All]	Capsule
	alemtuzumab	milligram	L04AA34, L04AA34	Active	1,234.56	1	alemtuzumab	[All]	Concentraat voor oplossing voor infusie;Infuus
	alendroninezuur	milligram	M05BA04, M05BA04	Active	1,234.56	1	alendroninezuur	[All]	Tablet;Drank
	alfa-1-proteinaseremmer	milligram	B02AB02	Active	1,234.56	1	alfa-1-proteinaseremmer	[All]	Poeder voor oplossing voor infusie
	alfacalcidol	microgram	A11CC03, A11CC03, A11CC03	Active	1,234.56	1	alfacalcidol	[All]	Capsule;Druppels voor oraal gebruik;Injectievloeistof
	alfentanil	milligram	N01AH02, N01AH02	Active	1,234.56	1	alfentanil	[All]	Injectievloeistof;Infuus
